Country 1,Country 2,Trade Value
Colombia,Australia,71.668
Colombia,New Zealand,71.668
Colombia,Japan,557.357
Colombia,United States,11012.215
Colombia,Brazil,1363.481
Colombia,Mexico,1536.662
Colombia,India,279.64
Singapore,Australia,11805.011
Singapore,New Zealand,11805.011
Singapore,Japan,17056.688
Singapore,United States,24183.045
Singapore,Brazil,1208.521
Singapore,Mexico,1280.826
Singapore,India,11017.887
Australia,New Zealand,13047.754
New Zealand,Australia,13047.754
Australia,Japan,48943.16495
New Zealand,Japan,48943.16495
Australia,United States,13082.69104
New Zealand,United States,13082.69104
Australia,Brazil,1189.568
New Zealand,Brazil,1189.568
Australia,Mexico,386.361
New Zealand,Mexico,386.361
Australia,India,11239.581
New Zealand,India,11239.581
Japan,Australia,18473.37
Japan,New Zealand,18473.37
Japan,United States,135059.633
Japan,Brazil,3393.387
Japan,Mexico,11269.197
Japan,India,8850.845
Philippines,Australia,509.028167
Philippines,New Zealand,509.028167
Philippines,Japan,10856.50803
Philippines,United States,9669.665587
Philippines,Brazil,127.451352
Philippines,Mexico,626.731508
Philippines,India,576.737072
United States,Australia,28284.59539
United States,New Zealand,28284.59539
United States,Japan,67717.39016
United States,Brazil,37295.4046
United States,Mexico,243789.3707
United States,India,25747.83047
Canada,Australia,1925.212619
Canada,New Zealand,1925.212619
Canada,Japan,9128.282855
Canada,United States,319958.5813
Canada,Brazil,1321.880716
Canada,Mexico,6058.446462
Canada,India,3225.847216
Brazil,Australia,548.24
Brazil,New Zealand,548.24
Brazil,Japan,5263.291
Brazil,United States,27147.723
Brazil,Mexico,4514.103
Brazil,India,4657.329
Mexico,Australia,1303.036
Mexico,New Zealand,1303.036
Mexico,Japan,4055.836
Mexico,United States,327357.934
Mexico,Brazil,3681.278
Mexico,India,3338.505